Compañia,Linea de producto,Año,Ingresos soles
Otros,Otros,2017,11872763
Otros,CableTV,2017,447579
Otros,CableTV,2017,120621
Otros,CableTV,2017,2243213
Otros,Otros,2017,76599
Otros,CableTV,2017,649263
Otros,CableTV,2017,1988440
Otros,Equipos,2017,23472
Otros,CableTV,2017,751357
Otros,CableTV,2017,53643
Otros,CableTV,2017,551690
Otros,CableTV,2017,57302
Otros,CableTV,2017,648375
Otros,CableTV,2017,67062
Otros,CableTV,2017,1008052
Otros,Otros,2017,238136
Otros,Otros,2017,67638
Otros,Internet,2017,80789
Otros,CableTV,2017,3688727
Otros,Otros,2017,794535
Otros,Otros,2017,273896
Otros,CableTV,2017,10057670
Otros,Otros,2017,521683
Otros,Otros,2017,336271
Otros,Otros,2017,500
Otros,CableTV,2017,789699
Otros,CableTV,2017,442168
Otros,Internet,2017,238453
Otros,CableTV,2017,6813042
Otros,Otros,2017,8230659
Otros,CableTV,2017,28545336
Otros,CableTV,2017,170154
Otros,CableTV,2017,107098
Otros,Otros,2017,279327
Otros,Linea fija,2017,6399101
Otros,Larga distancia,2017,18212825
Otros,Data,2017,23736473
Otros,Internet,2017,102418090
Otros,CableTV,2017,49840
Otros,CableTV,2017,250000
Otros,Equipos,2017,197739
Otros,Data,2017,1571804
Otros,Linea fija,2017,10126
Otros,Data,2017,27487
Otros,Equipos,2017,42990
Otros,Otros,2017,195273
Otros,Internet,2017,1200444
Otros,Otros,2017,8105
Otros,Linea fija,2017,40060
Otros,Internet,2017,86799
Otros,Otros,2017,164153
Otros,CableTV,2017,6947647
Otros,CableTV,2017,3226268
Otros,CableTV,2017,122016
Otros,Equipos,2017,9195
Otros,Data,2017,65363
Otros,Data,2017,165418
Otros,Larga distancia,2017,905360
Otros,Linea fija,2017,2279234
Otros,Internet,2017,2287300
Otros,Interconexión,2017,5250810
Otros,CableTV,2017,86718
Otros,Internet,2017,128430
Otros,CableTV,2017,486401
DirectTV,Otros,2017,6182656
DirectTV,Equipos,2017,68301469
